file,category,name,type,direction,description,license
01_Perspective_Channel_Gradient/perspective_channel_001_right_flat.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 001 right flat,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_002_right_flat.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 002 right flat,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_003_right_flat.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 003 right flat,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_004_right_flat.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 004 right flat,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_005_right_notch.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 005 right notch,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_006_right_notch.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 006 right notch,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_007_right_notch.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 007 right notch,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_008_right_notch.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 008 right notch,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_009_right_chevron.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 009 right chevron,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_010_right_chevron.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 010 right chevron,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_011_right_chevron.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 011 right chevron,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_012_right_chevron.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 012 right chevron,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_013_right_slant.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 013 right slant,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_014_right_slant.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 014 right slant,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_015_right_slant.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 015 right slant,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_016_right_slant.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 016 right slant,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_017_right_thin.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 017 right thin,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_018_right_thin.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 018 right thin,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_019_right_thin.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 019 right thin,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_020_right_thin.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 020 right thin,gradient_area_arrow,right,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_021_left_flat.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 021 left flat,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_022_left_flat.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 022 left flat,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_023_left_flat.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 023 left flat,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_024_left_flat.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 024 left flat,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_025_left_notch.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 025 left notch,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_026_left_notch.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 026 left notch,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_027_left_notch.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 027 left notch,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_028_left_notch.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 028 left notch,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_029_left_chevron.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 029 left chevron,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_030_left_chevron.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 030 left chevron,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_031_left_chevron.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 031 left chevron,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_032_left_chevron.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 032 left chevron,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_033_left_slant.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 033 left slant,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_034_left_slant.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 034 left slant,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_035_left_slant.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 035 left slant,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
01_Perspective_Channel_Gradient/perspective_channel_036_left_slant.svg,01_Perspective_Channel_Gradient,Perspective channel arrow 036 left slant,gradient_area_arrow,left,浅蓝渐变透视主通道箭头，适合PPT架构页主线/承托通道。,self-made
